1	27.179
2	2.02
3	6.31
4	7.309
5	27.358
6	7.533
7	10.735
8	20.563
9	3.398
10	9.937
11	1.307
12	7.609
13	10.083
14	28.858
15	2.812
16	15.597
17	10.507
18	14.801
19	11.762
20	0.623
21	22.961
22	19.106
23	2.107
24	16.557
25	19.854
26	2.798
27	15.144
28	6.262
29	4.721
30	12.937
31	25.87
32	8.939
33	8.068
34	9.927
35	6.493
36	29.224
37	2.127
38	13.522
39	2.113
40	12.442
41	2.162
42	7.529
43	9.629
44	17.193
45	8.196
46	24.482
47	8.489
48	14.482
49	9.359
50	0.589
51	23.421
52	11.58
53	10.545
54	20.628
55	4.956
56	17.625
57	1.478
58	20.102
59	20.687
60	6.814
61	3.659
62	11.569
63	15.499
64	16.384
65	26.732
66	26.692
67	18.516
68	12.17
69	24.155
70	5.832
71	29.71
72	24.036
73	0.418
74	8.168
75	1.502
76	14.863
77	13.567
78	24.606
79	16.151
80	20.899
81	22.086
82	20.833
83	23.33
84	18.019
85	18.561
86	26.195
87	9.645
88	20.473
89	14.527
90	16.206
91	15.449
92	26.084
93	25.03
94	10.631
95	10.098
96	18.072
97	25.93
98	9.88
99	18.678
100	8.239
